board_name,title,description,link,image_url,published_at
Méthodes & extraction,"Cold brew maison : recette, ratios et temps d’infusion","Ratio 1:10, 12-16h d’infusion à froid, la méthode pour un cold brew maison parfait. Mouture, grain, temps et variante concentrée.",https://filtre.cafe/journal/cold-brew-maison,https://filtre.cafe/pins/cold-brew-maison.png,
Méthodes & extraction,"Cold brew, café glacé, nitro : les vraies différences","Cold brew : 12-16h à froid. Café glacé : filtre sur glaçons. Nitro : cold brew sous azote. Trois méthodes, trois profils distincts.",https://filtre.cafe/journal/cold-brew-vs-cafe-glace-differences,https://filtre.cafe/pins/cold-brew-vs-cafe-glace-differences.png,
Matériel & achat,Comment choisir son moulin à café : guide complet 2026,"Meules plates ou coniques, manuel ou électrique, 50€ ou 300€, le guide honnête pour choisir le moulin adapté à votre méthode et votre budget.",https://filtre.cafe/journal/comment-choisir-son-moulin-cafe,https://filtre.cafe/pins/comment-choisir-son-moulin-cafe.png,
Méthodes & extraction,Comment conserver son café : tout ce qui tue les arômes (et comment l’éviter),"Le café perd ses arômes en 2-4 semaines après ouverture. Bocal opaque hermétique, pas le frigo, pas le congélo, les règles vraiment utiles.",https://filtre.cafe/journal/comment-conserver-cafe,https://filtre.cafe/pins/comment-conserver-cafe.png,
Méthodes & extraction,Comment faire un espresso parfait : recette et dial-in,"Il n’y a pas de recette magique pour l’espresso : un ratio, un temps, et une mouture à régler sur votre café. La méthode, le dial-in et les erreurs à éviter.",https://filtre.cafe/journal/comment-faire-espresso-parfait,https://filtre.cafe/pins/comment-faire-espresso-parfait.png,
Méthodes & extraction,Comment faire un ristretto parfait : recette et réglages,"Un ristretto raté est sous-extrait, pas trop concentré. La recette, les réglages (dose, rendement, mouture plus fine) et les erreurs à éviter pour une tasse sucrée et sirupeuse.",https://filtre.cafe/journal/comment-faire-ristretto-parfait,https://filtre.cafe/pins/comment-faire-ristretto-parfait.png,
Méthodes & extraction,Comment faire un bon café : les 5 variables clés,"Grain, mouture, ratio, température, temps d’extraction, les 5 variables simples qui expliquent pourquoi votre café est raté, et comment les maîtriser.",https://filtre.cafe/journal/comment-faire-un-bon-cafe,https://filtre.cafe/pins/comment-faire-un-bon-cafe.png,
Comprendre le café,"Débuter le café filtre, le guide sans jargon","V60, cafetière filtre, moulin, bouilloire, ratio, mouture, tout ce qu’il faut pour commencer le café filtre sérieusement, dans l’ordre.",https://filtre.cafe/journal/debuter-cafe-filtre-guide,https://filtre.cafe/pins/debuter-cafe-filtre-guide.png,
Matériel & achat,De’Longhi Specialista Arte : test et avis complet,"De’Longhi Specialista Arte : broyeur intégré, extraction, prise en main, verdict honnête. Pour qui c’est fait, pour qui ça ne l’est pas.",https://filtre.cafe/journal/delonghi-specialista-arte-test-avis,https://filtre.cafe/pins/delonghi-specialista-arte-test-avis.png,
Méthodes & extraction,"Quelle eau pour le café filtre, TDS, minéraux, solutions","L’eau représente 98% de la tasse. TDS, magnésium, bicarbonates, Volvic, eau du robinet à Paris, ce que ça change vraiment et comment choisir.",https://filtre.cafe/journal/eau-cafe-filtre-tds-mineraux,https://filtre.cafe/pins/eau-cafe-filtre-tds-mineraux.png,
Méthodes & extraction,Comment faire un espresso sans machine : moka et AeroPress,"Comment faire un espresso sans machine ? Moka pot, AeroPress, Nanopresso : les vraies alternatives à la machine espresso, leurs limites et comment les utiliser.",https://filtre.cafe/journal/espresso-maison-sans-machine,https://filtre.cafe/pins/espresso-maison-sans-machine.png,
Recettes & boissons,Flat white : différences avec latte et cappuccino,"Double ristretto, 120 ml de lait micromoussé, plus court qu’un latte, sans la mousse du cappuccino. Recette et différences entre les trois.",https://filtre.cafe/journal/flat-white-recette-guide,https://filtre.cafe/pins/flat-white-recette-guide.png,
Méthodes & extraction,French press : le guide complet,"Mouture grossière, 4 minutes d’infusion, décantation immédiate, tout ce qu’il faut savoir pour maîtriser la french press et éviter le café amer.",https://filtre.cafe/journal/french-press-guide,https://filtre.cafe/pins/french-press-guide.png,
Méthodes & extraction,Grammage café : combien de grammes par méthode d’extraction ?,"Espresso, V60, piston, AeroPress, moka, le dosage exact par méthode, les ratios à retenir et comment ajuster selon votre goût.",https://filtre.cafe/journal/grammage-cafe,https://filtre.cafe/pins/grammage-cafe.png,
Comprendre le café,Histoire du café : de l’Éthiopie à la troisième vague en 1 000 ans,"Kaffa au IXe siècle, Yémen au XVe, cafés ottomans, Paris au XVIIe, des origines à la troisième vague. 1 000 ans en une chronique.",https://filtre.cafe/journal/histoire-du-cafe,https://filtre.cafe/pins/histoire-du-cafe.png,
Matériel & achat,Idées cadeaux café : n’offrez pas de machine,"Quoi offrir à quelqu’un qui aime le café, du moulin au calendrier de l’avent en grain entier. Et la liste de ce qu’il vaut mieux laisser en rayon.",https://filtre.cafe/journal/idees-cadeaux-cafe,https://filtre.cafe/pins/idees-cadeaux-cafe.png,
Comprendre le café,"Lire une étiquette de café de spécialité : score SCA, process, variété","Score SCA, altitude, process, variété, date de torréfaction : ce que chaque information sur un paquet de café de spécialité signifie vraiment.",https://filtre.cafe/journal/lire-etiquette-cafe-specialite,https://filtre.cafe/pins/lire-etiquette-cafe-specialite.png,
Matériel & achat,Machine espresso : manuelle vs automatique 2026,"Manuelle : contrôle total, 500-2000€. Automatique : recette mémorisée, 300-800€. Ce qui compte selon votre niveau, votre usage et votre budget.",https://filtre.cafe/journal/machine-espresso-manuelle-vs-automatique,https://filtre.cafe/pins/machine-espresso-manuelle-vs-automatique.png,
Matériel & achat,Meilleur café en grain 2026 : la sélection honnête,"Fraîcheur, date de torréfaction, profil de goût, les critères pour bien acheter son café en grain, du grand public accessible au spécialité SCA 80+.",https://filtre.cafe/journal/meilleur-cafe-en-grain-2025,https://filtre.cafe/pins/meilleur-cafe-en-grain-2025.png,
Matériel & achat,Meilleur café de spécialité 2026 : sélection par origine et méthode,"Score SCA 80+ obligatoire, date de torréfaction visible, torréfacteur artisanal. Notre sélection 2026 par méthode et profil, filtre, espresso, pour-over.",https://filtre.cafe/journal/meilleur-cafe-specialite-2025,https://filtre.cafe/pins/meilleur-cafe-specialite-2025.png,
Matériel & achat,"Meilleur moulin à café électrique 2026 : Baratza, Fellow Ode ou Niche Zero","Baratza, Fellow Ode, Timemore, meules plates ou coniques, RPM, burr size. Ce qui compte vraiment dans un moulin électrique selon votre méthode.",https://filtre.cafe/journal/meilleur-moulin-cafe-electrique,https://filtre.cafe/pins/meilleur-moulin-cafe-electrique.png,
Matériel & achat,Meilleur moulin à café manuel 2026 : le comparatif honnête,"Timemore, Comandante, 1Zpresso, Hario, quel moulin manuel selon son budget et sa méthode d’extraction ? Comparatif par usage et sélection.",https://filtre.cafe/journal/meilleur-moulin-cafe-manuel,https://filtre.cafe/pins/meilleur-moulin-cafe-manuel.png,
Matériel & achat,Meilleur tamper espresso 2026 : guide d’achat,"Motta, Normcore, Pullman, quel tamper espresso choisir ? Diamètre, pression, spring-loaded : ce qui change vraiment en tasse. Comparatif par budget.",https://filtre.cafe/journal/meilleur-tamper-espresso,https://filtre.cafe/pins/meilleur-tamper-espresso.png,
Matériel & achat,Meilleure balance café 2026 : laquelle selon votre budget ?,"Pour 90% des setups, la Timemore à 65€ est le bon achat. Hario pour débuter, Acaia si vous voulez le plus précis. Filtre, espresso, pour-over.",https://filtre.cafe/journal/meilleure-balance-cafe,https://filtre.cafe/pins/meilleure-balance-cafe.png,
Matériel & achat,Meilleure bouilloire café filtre 2026 : col de cygne,"Fellow Stagg EKG, Hario Buono, Timemore Fish, quelle bouilloire col de cygne pour le café filtre ? Température variable, débit précis, comparatif budget.",https://filtre.cafe/journal/meilleure-bouilloire-cafe-filtre,https://filtre.cafe/pins/meilleure-bouilloire-cafe-filtre.png,
Matériel & achat,Meilleure cafetière filtre 2026 : le guide d’achat honnête,"Braun BrewSense, Technivorm Moccamaster, Fellow Aiden, cafetière filtre automatique ou V60 manuel ? Ce qui change en extraction, en débit, en résultat.",https://filtre.cafe/journal/meilleure-cafetiere-filtre-2025,https://filtre.cafe/pins/meilleure-cafetiere-filtre-2025.png,
Matériel & achat,Meilleure machine à café à grain automatique 2026 : guide d’achat,"Broyeur céramique ou acier, pression 9 bars minimum, comment choisir sans se faire avoir par le marketing. Budget 300-1 000€, sélection par usage.",https://filtre.cafe/journal/meilleure-machine-cafe-grain-automatique,https://filtre.cafe/pins/meilleure-machine-cafe-grain-automatique.png,
Matériel & achat,"Meilleure machine espresso pour débutant 2026 : Dedica, Bambino ou Gaggia","De’Longhi Dedica, Sage Bambino Plus, Gaggia Classic Pro, quelle machine espresso choisir quand on débute ? Comparatif honnête, sans jargon inutile.",https://filtre.cafe/journal/meilleure-machine-espresso-debutant,https://filtre.cafe/pins/meilleure-machine-espresso-debutant.png,
Matériel & achat,"Meilleure machine à expresso manuelle 2026, Gaggia, Flair 58, Silvia, Sage","Gaggia Classic Pro, Flair 58, Rancilio Silvia, Sage Barista Express, comparatif machines espresso manuelles 2026. Prix réels, limites honnêtes.",https://filtre.cafe/journal/meilleure-machine-espresso-manuelle-2026,https://filtre.cafe/pins/meilleure-machine-espresso-manuelle-2026.png,
Adresses & voyages,Les meilleurs cafés de spécialité à Paris : notre sélection honnête,"Lomi, Terres de Café, Coutume, Ten Belles, les adresses parisiennes où le café est pris au sérieux. Sélection indépendante, sans sponsoring.",https://filtre.cafe/journal/meilleurs-cafes-paris,https://filtre.cafe/pins/meilleurs-cafes-paris.png,
Méthodes & extraction,Moka pot : le guide complet pour ne plus rater son café,"Feu moyen, eau froide dans la chambre inférieure, les vrais réglages pour ne plus brûler votre café moka. Mouture, quantité d’eau et timing.",https://filtre.cafe/journal/moka-pot-guide-complet,https://filtre.cafe/pins/moka-pot-guide-complet.png,
Méthodes & extraction,"Mouture café V60 : réglage, taille, calibration","Quelle mouture pour le V60 ? Comment calibrer son moulin, lire le débit, diagnostiquer sous-extraction et sur-extraction. Le guide technique complet.",https://filtre.cafe/journal/mouture-cafe-v60,https://filtre.cafe/pins/mouture-cafe-v60.png,
Comprendre le café,"Café naturel, lavé, honey : ce que ça change dans la tasse","Naturel, lavé, honey, 3 traitements, 3 profils de tasse. Fruits et corps pour le naturel, netteté et acidité pour le lavé. Ce que ça change en tasse.",https://filtre.cafe/journal/naturel-lave-honey,https://filtre.cafe/pins/naturel-lave-honey.png,
Comprendre le café,Arrêter les capsules Nespresso : guide pour débutant,"Passer des capsules au café de spécialité sans se ruiner. Matériel, premiers achats, équivalents de formats, le guide concret pour franchir le cap.",https://filtre.cafe/journal/nespresso-vers-specialite,https://filtre.cafe/pins/nespresso-vers-specialite.png,
Méthodes & extraction,"Comment nettoyer sa machine à café, guide complet","Espresso, filtre, piston, moka, fréquence, produits, gestes. Guide pour nettoyer sa machine à café et préserver la qualité de la tasse.",https://filtre.cafe/journal/nettoyer-machine-cafe,https://filtre.cafe/pins/nettoyer-machine-cafe.png,
Matériel & achat,Où acheter du café de spécialité en ligne en France,"Lomi, Terres de Café, Belleville, date de torréfaction visible, fraîcheur garantie. Ce qu’il faut vérifier avant de commander.",https://filtre.cafe/journal/ou-acheter-cafe-specialite-en-ligne,https://filtre.cafe/pins/ou-acheter-cafe-specialite-en-ligne.png,
Méthodes & extraction,"Pourquoi mon café est acide, et comment corriger","Café trop acide ? Mouture trop grossière, eau froide, infusion trop courte, les 5 vraies causes et les corrections précises selon votre méthode.",https://filtre.cafe/journal/pourquoi-cafe-acide,https://filtre.cafe/pins/pourquoi-cafe-acide.png,
Méthodes & extraction,"Pourquoi mon café est amer, causes et corrections","Café trop amer ? Mouture, température, temps d’infusion, qualité du grain, les 5 vraies causes et les corrections précises selon votre méthode.",https://filtre.cafe/journal/pourquoi-cafe-amer,https://filtre.cafe/pins/pourquoi-cafe-amer.png,
Matériel & achat,Abonnement café : pourquoi s’abonner ? Les vraies raisons,"Abonnement café de spécialité : fraîcheur, découverte, confort, limites et critères à vérifier avant de choisir une formule mensuelle.",https://filtre.cafe/journal/pourquoi-prendre-cafe-abonnement,https://filtre.cafe/pins/pourquoi-prendre-cafe-abonnement.png,
Méthodes & extraction,"Quel café pour le V60, origines, traitements et picks","Le V60 amplifie tout. Torréfaction claire, lavé ou naturel, Éthiopie ou Kenya, les cafés qui en tirent le meilleur.",https://filtre.cafe/journal/quel-cafe-pour-v60,https://filtre.cafe/pins/quel-cafe-pour-v60.png,
Méthodes & extraction,Ratio café/eau : guide par méthode d’extraction,"V60, French press, moka, espresso, les ratios exacts par méthode, comment les lire et comment ajuster selon votre goût.",https://filtre.cafe/journal/ratio-cafe-eau-extraction,https://filtre.cafe/pins/ratio-cafe-eau-extraction.png,
Méthodes & extraction,"Ristretto, espresso, lungo : la différence en un tableau","Ristretto 15 ml, espresso 30 ml, lungo 50 ml. Même dose de café, trois boissons. Le tableau comparatif des ratios, goûts et usages.",https://filtre.cafe/journal/ristretto-espresso-lungo-differences,https://filtre.cafe/pins/ristretto-espresso-lungo-differences.png,
Méthodes & extraction,Température eau café filtre : pourquoi 96°C c’est rarement juste,"La règle des 96°C pour le café filtre est trop simple. Ce que dit la science de l’extraction, et comment choisir sa température.",https://filtre.cafe/journal/temperature-eau-cafe-filtre,https://filtre.cafe/pins/temperature-eau-cafe-filtre.png,
Matériel & achat,"Meilleurs torréfacteurs français 2026 : Belleville, Lomi, Terres de Café","Belleville, Lomi, Terres de Café, Tanat, Cantin, torréfacteurs artisanaux français 2026. Points forts, spécialités, commande en ligne.",https://filtre.cafe/journal/torrefacteurs-francais,https://filtre.cafe/pins/torrefacteurs-francais.png,
Comprendre le café,De la cerise au grain torréfié : ce qui se passe avant votre tasse,"Naturel, lavé, honey : comment le traitement de la cerise de café façonne le goût dans votre tasse, et ce que fait ensuite la torréfaction artisanale.",https://filtre.cafe/journal/traitement-torrefaction,https://filtre.cafe/pins/traitement-torrefaction.png,
Méthodes & extraction,"Recette V60 : ratio, mouture et protocole pas à pas","Recette V60 : 15g pour 225ml, mouture médium-fine, bloom 30 secondes, extraction en 2 min 30 à 3 min 30. Protocole détaillé, variables et erreurs.",https://filtre.cafe/journal/v60-guide-complet,https://filtre.cafe/pins/v60-guide-complet.png,
